es_original,n_original,p_value_original,vi_original,result,ci.lower_original,ci.upper_original,disc_cognitive_psychology,disc_developmental_psychology,disc_experimental_philosophy,disc_judgment_and_decision_making,disc_marketing,disc_psychology,disc_social_psychology,tag_attention,tag_conflict_(psychology),tag_cues,tag_culture,tag_female,tag_humans,tag_male,tag_memory,tag_short-term,tag_mental_recall,tag_motivation,tag_reading,tag_reaction_time,tag_association_learning,tag_discrimination_learning,tag_pattern_recognition,tag_visual,tag_serial_learning,tag_decision_making,tag_psychological,tag_adolescent,tag_adult,tag_social_science_replication_project,tag_science,tag_nature,tag_human_behavior,tag_judgment,tag_problem_solving,tag_psychomotor_performance,tag_semantics,tag_many_labs_2,tag_attitude,tag_first_impression,tag_impression_formation,tag_variation_of_a_central_quality_in_impression_formation,tag_social_perception,tag_sensory_marketing,tag_orientation,tag_binge-watching,tag_self-determination_theory,tag_media_psychology,tag_well-being,tag_brand_names,tag_linguistics,tag_sound_symbolism,tag_social_value_orientation_(slm),tag_sample_2,tag_social_value_orientation_(tdm),tag_sample_1
0.386,74.0,0.0006822224553169,0.0099206549043287,Success,0.172736728060308,0.564692565720999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.261,74.0,0.0246996703770989,0.0118958694608356,Failure,0.0345625044727847,0.46194894956258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.247092907252396,213.0,0.0002709360204964,0.0041585749611934,Success,0.116532109067412,0.369258853568479,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.247092907252396,213.0,0.0002709360204964,0.0041585749611934,Success,0.116532109067412,0.369258853568479,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26948504,30.0,0.149835922272945,0.0296561933946779,OS not significant,-0.100545898965129,0.574023908210423,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.219359299,18.0,0.381806822599316,0.053298728595573,OS not significant,-0.275751074213086,0.622479790535486,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.125,199.0,0.078553782689649,0.0048939098011363,OS not significant,-0.0143392304255075,0.259576859373278,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.348120689,24.0,0.0955133332172372,0.0335787176758355,OS not significant,-0.0643066514452264,0.658976798892318,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.225490086,100.0,0.0240903097663645,0.0090999367218361,Failure,0.030419247059456,0.404014274794362,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4961117,170.0,6.00637156278406e-12,0.003362868480572,Failure,0.373486378483372,0.601696167217953,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.148340452930245,207.0,0.0329132914469622,0.0046430797826783,Failure,0.0122175855784472,0.279065208897663,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
